"24", "Cinemas ZON Lusomundo Glicínias", "", "35", "16996", "Aveiro", "Aveiro", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-glicinias/4bf5a0855e800f47aedae5d4", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Glicinias/187181581362881", "187181581362881", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3810-498", "R. D. Manuel Barbuda e Vasconcelos", "NULL", "40.62681528", "-8.644924611", "0"
"25", "Cinemas ZON Lusomundo MaiaShopping", "", "35", "16996", "Maia", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-maiashopping/4ca8846fb0b8236af708b4e6", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-MaiaShopping/194391217321487", "194391217321487", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4425-500", "Lugar de Ardegães", "NULL", "41.21923526", "-8.561447561", "0"
"26", "Cinemas ZON Lusomundo Mar Shopping", "", "35", "16996", "Matosinhos", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-mar-shopping/4c509144250dd13a653acc7b", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Mar-Shopping/210351445713529", "210351445713529", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4450-337", "Av. Dr. Óscar Lopes", "NULL", "41.20981671", "-8.686569929", "0"
"27", "Cinemas ZON Lusomundo NorteShopping", "", "35", "16996", "Senhora da Hora", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-norteshopping/4b79c5d9f964a52012112fe3", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-NorteShopping/120322294730396", "120322294730396", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4460-841", "R. Sara Afonso 105-107", "NULL", "41.1805395", "-8.655700386", "0"
"28", "Cinemas ZON Lusomundo Odivelas Parque", "", "35", "16996", "Odivelas", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-odivelas-parque/4bfed508a8c39c74678ff237", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Odivelas-Parque/318697774818166", "318697774818166", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2675-626", "Centro Comercial Odivelas Parque", "NULL", "38.78227374", "-9.191867262", "0"
"29", "Cinemas ZON Lusomundo Oeiras Parque", "", "35", "16996", "Oeiras", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-oeiras-parque/4bb7a7e5314e9521ef7a479d", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Oeiras-Parque/208287359197690", "208287359197690", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2780-219", "Av. António Bernardo Cabral de Macedo", "NULL", "38.70467712", "-9.302161038", "0"
"30", "Cinemas ZON Lusomundo Palácio do Gelo", "", "35", "16996", "Viseu", "Viseu", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-palacio-do-gelo/4e94a4c55503cac97bf12572", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Palacio-do-Gelo/248949501838436", "248949501838436", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3500-606", "Quinta da Alagoa", "NULL", "40.64353041", "-7.91069001", "0"
"31", "Cinemas ZON Lusomundo Parque Nascente", "", "35", "16996", "Rio Tinto", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-parque-nascente/4be1d9f1a145c92876c94e80", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Parque-Nascente/104739059626461", "104739059626461", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4435-182", "Praceta Parque Nascente 35", "NULL", "41.17395204", "-8.566258103", "0"
"32", "Cinemas ZON Lusomundo Tavira", "", "35", "16996", "Tavira", "Faro", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-tavira/4cd47238ab19a0935b6839eb", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Tavira/301493336556061", "301493336556061", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "8800-318", "R. Almirante Cândido dos Reis 247", "NULL", "37.13120562", "-7.636828423", "0"
"33", "Cinemas ZON Lusomundo Torres Vedras", "", "35", "16996", "Torres Vedras", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-torres-vedras/4c60748ede6920a1fbfd9564", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Torres-Vedras/134695549979410", "134695549979410", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2560-256", "R. António Alves Ferreira 2", "NULL", "39.10189119", "-9.252914339", "0"
